customer_id,age,gender,location,tenure_months,contract_type,monthly_recharge,data_usage_gb,call_minutes,num_services,num_complaints,support_calls,payment_method,paperless_billing,sentiment_score,churn
CUST00024,55,Male,Rural,31,One Year,29.48,12.26,121.0,2,1,4,E-Wallet,0,0.32,0
CUST00025,19,Male,Urban,16,Month-to-Month,79.25,1.12,223.0,3,1,2,Bank Transfer,1,0.107,0
CUST00026,38,Male,Urban,49,One Year,18.98,0.29,22.0,1,1,1,Credit Card,1,-0.398,0
CUST00027,50,Female,Rural,63,Two Year,39.16,,196.0,1,0,0,E-Wallet,0,0.323,0
CUST00028,29,Male,Suburban,29,Month-to-Month,85.95,4.34,478.0,1,0,0,Bank Transfer,1,1.0,1
CUST00029,39,Male,Urban,26,Month-to-Month,104.11,5.34,284.0,1,0,3,Credit Card,0,0.091,0
CUST00030,61,Female,Urban,53,Two Year,10.0,5.37,517.0,2,0,0,E-Wallet,0,0.351,0
CUST00031,42,Female,Urban,23,Month-to-Month,37.75,0.47,307.0,5,1,2,Credit Card,0,0.025,0
CUST00032,66,Male,Suburban,4,Month-to-Month,110.74,8.65,344.0,4,0,0,Cash,0,-0.04,1
CUST00033,44,Female,Suburban,40,One Year,68.55,1.32,397.0,4,1,2,Bank Transfer,1,-0.374,0
CUST00034,59,Female,Rural,53,One Year,39.2,0.94,463.0,1,0,1,E-Wallet,1,-0.074,0
CUST00035,45,Male,Urban,8,Month-to-Month,101.93,3.81,114.0,1,0,0,Bank Transfer,1,0.181,0
CUST00036,33,Male,Suburban,9,Two Year,79.64,0.95,449.0,3,1,3,Credit Card,0,0.077,1
CUST00037,32,Female,Suburban,2,Month-to-Month,67.75,2.84,403.0,1,1,1,E-Wallet,1,0.068,1
CUST00038,64,Male,Urban,1,Month-to-Month,17.07,2.09,547.0,4,1,0,Credit Card,0,0.253,0
CUST00039,68,Male,Urban,71,One Year,117.4,1.06,228.0,3,2,4,E-Wallet,1,0.464,1
CUST00040,61,Female,Rural,24,Month-to-Month,71.56,1.38,243.0,3,0,2,Credit Card,0,1.0,0
CUST00041,72,Male,Rural,32,Month-to-Month,,2.23,64.0,1,1,1,Credit Card,1,0.038,0
CUST00042,69,Male,Urban,14,One Year,101.54,1.7,236.0,3,1,1,Bank Transfer,1,0.369,0
CUST00043,74,Male,Suburban,22,Two Year,42.08,1.92,2.0,5,1,0,E-Wallet,1,0.314,0
CUST00044,20,Male,Urban,17,Two Year,37.66,5.32,499.0,1,0,0,Bank Transfer,1,0.731,0
CUST00045,54,Male,Suburban,62,Two Year,40.67,0.74,36.0,5,0,1,Credit Card,1,0.667,0
CUST00046,68,Female,Suburban,50,Two Year,55.5,3.95,249.0,1,0,0,E-Wallet,1,0.089,0
CUST00047,24,Female,Suburban,15,Month-to-Month,65.67,4.53,2.0,5,3,0,Bank Transfer,1,0.343,0
CUST00048,38,Male,Rural,23,Month-to-Month,81.0,6.48,234.0,1,0,0,Bank Transfer,1,0.912,1
CUST00049,26,Female,Suburban,36,Two Year,33.72,7.52,416.0,4,1,2,Bank Transfer,1,0.337,0
CUST00050,56,Male,Urban,8,Month-to-Month,72.58,0.69,250.0,1,0,0,Bank Transfer,1,0.574,1
CUST00051,35,Male,Suburban,68,One Year,49.94,0.6,142.0,4,0,4,Bank Transfer,1,0.259,0
CUST00052,21,Male,Urban,36,One Year,62.3,3.82,55.0,2,0,2,Credit Card,1,0.282,0
CUST00053,42,Male,Urban,17,Month-to-Month,95.23,5.66,60.0,2,1,2,E-Wallet,0,0.265,0
CUST00054,31,Male,Urban,11,Two Year,77.32,1.27,67.0,1,2,0,E-Wallet,1,-0.098,1
CUST00055,67,Female,Urban,6,Month-to-Month,79.4,2.98,78.0,4,1,1,E-Wallet,0,0.151,0
CUST00056,26,Female,Suburban,5,Month-to-Month,49.6,5.92,326.0,4,0,0,Credit Card,1,0.309,0
CUST00057,43,Male,Urban,40,Two Year,113.14,5.84,366.0,3,1,1,E-Wallet,1,-0.053,0
CUST00058,70,Female,Suburban,35,Month-to-Month,81.8,4.24,534.0,3,0,3,Credit Card,1,0.916,0
CUST00059,19,Male,Suburban,18,Month-to-Month,54.38,0.33,525.0,5,0,0,E-Wallet,0,0.384,0
CUST00060,37,Female,Urban,30,Month-to-Month,93.53,0.21,389.0,3,0,2,Credit Card,1,0.086,0
CUST00061,45,Male,Suburban,10,Two Year,79.22,1.97,288.0,1,0,2,Credit Card,0,0.316,0
CUST00062,64,Female,Urban,49,One Year,33.42,0.11,520.0,3,0,1,Cash,0,-0.183,0
CUST00063,24,Male,Urban,54,One Year,70.0,9.38,252.0,3,0,2,Credit Card,1,0.627,0
CUST00064,61,Male,Suburban,41,One Year,40.8,0.08,94.0,1,1,3,E-Wallet,1,-0.045,0
CUST00065,25,Female,Urban,10,Month-to-Month,,0.12,2.0,1,0,4,Credit Card,1,0.019,0
CUST00066,64,Female,Urban,50,Two Year,54.18,0.72,45.0,5,0,1,E-Wallet,1,0.128,0
CUST00067,52,Male,Suburban,66,Two Year,93.35,3.94,,4,1,1,Credit Card,0,-0.581,0
CUST00068,31,Female,Suburban,4,Month-to-Month,101.86,3.12,481.0,3,2,2,Bank Transfer,0,0.481,1
CUST00069,34,Male,Urban,11,Month-to-Month,,4.31,596.0,2,0,2,Credit Card,1,0.33,0
CUST00070,53,Female,Rural,63,Two Year,,8.96,417.0,4,1,0,E-Wallet,1,0.825,0
CUST00071,67,Female,Suburban,31,Two Year,99.9,2.43,42.0,1,0,0,Bank Transfer,1,0.25,0
CUST00072,57,Male,Rural,34,Two Year,81.77,0.18,558.0,3,2,1,Credit Card,1,-0.014,0
CUST00073,21,Female,Urban,14,Two Year,77.24,5.77,205.0,5,2,0,Bank Transfer,1,0.148,0
CUST00074,19,Female,Suburban,9,Month-to-Month,68.49,6.68,274.0,2,0,2,Bank Transfer,1,0.45,0
CUST00075,23,Male,Rural,9,One Year,83.12,0.2,594.0,4,0,3,E-Wallet,0,0.023,0
CUST00076,71,Female,Suburban,6,Month-to-Month,64.25,1.11,96.0,3,0,1,Bank Transfer,0,-0.405,1
CUST00077,59,Male,Suburban,27,Month-to-Month,103.24,5.89,178.0,1,1,1,Bank Transfer,1,0.956,1
CUST00078,21,Male,Urban,18,One Year,62.01,1.89,147.0,4,2,0,Bank Transfer,1,-0.439,0
CUST00079,71,Male,Urban,22,Month-to-Month,61.61,2.56,383.0,2,1,2,E-Wallet,1,1.0,0
CUST00080,46,Male,Urban,22,One Year,13.61,6.93,71.0,1,0,1,Bank Transfer,0,0.062,1
CUST00081,35,Male,Urban,33,Month-to-Month,91.45,0.4,216.0,2,1,1,E-Wallet,0,0.605,1
CUST00082,43,Female,Rural,17,Month-to-Month,40.93,4.52,432.0,3,0,1,E-Wallet,0,0.537,0
CUST00083,61,Male,Urban,29,Month-to-Month,10.0,0.97,500.0,4,1,1,Cash,1,0.306,0
CUST00084,51,Male,Rural,10,Month-to-Month,60.53,0.26,32.0,5,0,0,E-Wallet,1,0.102,1
CUST00085,27,Female,Rural,18,Month-to-Month,56.54,4.34,215.0,3,3,4,Cash,1,-0.759,1
CUST00086,53,Female,Urban,13,Month-to-Month,76.25,,100.0,3,0,1,Credit Card,1,0.146,0
CUST00087,31,Female,Urban,17,Two Year,81.23,5.5,469.0,5,2,3,Credit Card,0,-0.24,1
CUST00088,48,Male,Rural,10,Month-to-Month,44.31,0.91,179.0,5,2,0,Credit Card,1,-0.234,1
CUST00089,65,Male,Rural,32,Month-to-Month,133.0,0.2,332.0,1,0,1,E-Wallet,0,0.087,0
CUST00090,32,Male,Urban,9,One Year,59.97,0.42,487.0,2,2,0,E-Wallet,1,-0.526,1
CUST00091,25,Female,Urban,50,One Year,22.8,7.36,459.0,3,1,1,E-Wallet,0,-0.287,1
CUST00092,31,Male,Suburban,27,Month-to-Month,104.57,1.85,376.0,1,0,2,Credit Card,0,0.413,0
CUST00093,40,Female,Suburban,60,One Year,83.21,1.44,134.0,1,1,0,Credit Card,0,,0
CUST00094,74,Male,Urban,37,One Year,75.22,2.7,409.0,3,3,1,E-Wallet,1,-0.94,1
CUST00095,57,Female,Suburban,2,Month-to-Month,54.12,4.01,154.0,2,0,0,Credit Card,0,0.356,1
CUST00096,38,Male,Urban,11,Month-to-Month,66.15,0.15,279.0,5,1,1,Bank Transfer,0,-0.873,1
CUST00097,33,Male,Urban,22,Two Year,,9.14,478.0,3,0,2,Bank Transfer,0,,0
CUST00098,62,Male,Urban,56,Two Year,58.22,12.73,198.0,2,0,1,Credit Card,1,0.282,0
CUST00099,35,Female,Urban,13,One Year,126.42,2.16,416.0,5,1,2,Cash,0,0.175,0
CUST00100,64,Female,Urban,15,Month-to-Month,41.14,2.13,97.0,4,1,3,Credit Card,1,0.036,1
CUST00101,70,Male,Urban,26,Month-to-Month,69.42,8.43,249.0,3,2,0,E-Wallet,0,-0.711,0
CUST00102,41,Male,Urban,24,One Year,22.88,2.24,104.0,3,1,0,Bank Transfer,1,-0.024,0
CUST00103,43,Male,Urban,27,Month-to-Month,51.98,7.76,326.0,2,2,1,Credit Card,1,0.011,0
CUST00104,42,Female,Urban,7,Month-to-Month,33.37,0.11,481.0,1,0,3,E-Wallet,1,0.317,0
CUST00105,62,Male,Rural,66,One Year,75.68,2.69,376.0,1,0,1,E-Wallet,1,,0
CUST00106,58,Male,Urban,10,Month-to-Month,70.4,12.18,14.0,2,3,1,E-Wallet,0,-0.334,1
CUST00107,46,Male,Urban,68,One Year,32.43,1.17,480.0,3,1,1,Bank Transfer,0,0.366,0
CUST00108,32,Male,Suburban,16,Two Year,67.21,1.24,15.0,3,1,2,E-Wallet,1,-0.441,0
CUST00109,62,Female,Rural,30,Month-to-Month,68.09,3.98,,3,0,1,Cash,0,-0.534,0
CUST00110,18,Female,Urban,11,Two Year,69.37,10.43,484.0,4,1,0,Credit Card,0,0.76,0
CUST00111,42,Male,Suburban,8,Month-to-Month,86.35,0.89,278.0,1,1,5,Credit Card,1,-0.074,1
CUST00112,24,Male,Suburban,70,Two Year,104.13,10.19,332.0,4,0,1,Credit Card,0,0.067,0
CUST00113,26,Female,Suburban,19,Month-to-Month,49.65,4.35,256.0,3,0,0,E-Wallet,0,0.103,0
CUST00114,41,Female,Urban,3,Month-to-Month,57.34,19.87,184.0,1,1,2,Bank Transfer,1,0.009,1
CUST00115,18,Male,Suburban,36,One Year,60.67,5.33,587.0,3,0,1,Credit Card,0,0.666,0
CUST00116,61,Female,Urban,6,Month-to-Month,32.45,4.41,26.0,3,5,1,Credit Card,1,-1.0,1
CUST00117,25,Female,Suburban,59,Two Year,39.81,6.75,24.0,2,3,0,Bank Transfer,0,-0.61,1
CUST00118,41,Male,Suburban,19,Month-to-Month,79.08,0.77,61.0,1,3,2,E-Wallet,0,0.112,1
CUST00119,28,Female,Urban,30,Month-to-Month,113.12,11.67,,3,1,2,E-Wallet,1,0.28,0
CUST00120,68,Female,Suburban,13,Month-to-Month,39.01,0.72,463.0,5,0,4,E-Wallet,0,0.396,0
CUST00121,34,Male,Urban,12,Month-to-Month,122.33,0.1,348.0,5,1,0,E-Wallet,1,0.213,1
CUST00122,25,Male,Suburban,34,Month-to-Month,50.84,4.79,285.0,3,0,3,Credit Card,1,0.274,0
CUST00123,52,Female,Urban,27,One Year,95.3,0.82,413.0,2,0,3,E-Wallet,1,-0.037,0
CUST00124,52,Male,Urban,29,One Year,75.73,5.69,595.0,3,0,0,Bank Transfer,1,0.077,0
CUST00125,50,Female,Urban,43,Two Year,,6.34,405.0,5,0,3,E-Wallet,0,0.472,0
CUST00126,22,Male,Rural,7,Two Year,54.32,1.08,380.0,1,2,1,Bank Transfer,1,-0.466,1
CUST00127,59,Female,Urban,17,Month-to-Month,65.4,0.36,169.0,2,2,4,Bank Transfer,1,,0
CUST00128,56,Male,Urban,24,One Year,47.23,2.78,289.0,3,1,3,Credit Card,1,-0.039,0
CUST00129,58,Female,Urban,23,Month-to-Month,,8.84,515.0,5,1,2,Cash,0,0.827,1
CUST00130,45,Female,Suburban,67,One Year,92.95,7.52,286.0,1,1,1,Bank Transfer,1,-0.064,0
CUST00131,24,Female,Suburban,9,Month-to-Month,48.74,0.5,306.0,5,1,1,Bank Transfer,0,0.467,1
CUST00132,26,Male,Urban,27,Two Year,23.99,13.38,561.0,2,1,3,Credit Card,1,0.183,0
CUST00133,25,Male,Urban,19,One Year,56.8,1.23,7.0,4,0,0,Bank Transfer,1,0.253,0
CUST00134,29,Female,Urban,61,Two Year,114.71,1.72,356.0,3,0,1,E-Wallet,1,-0.248,0
CUST00135,51,Female,Urban,70,Two Year,70.8,0.65,580.0,1,0,3,Credit Card,0,0.129,0
CUST00136,50,Male,Urban,50,Two Year,93.84,1.9,138.0,2,1,4,Credit Card,0,0.21,0
CUST00137,65,Male,Suburban,59,Two Year,41.8,4.04,510.0,2,1,0,Credit Card,1,-0.44,0
CUST00138,72,Male,Urban,16,Month-to-Month,52.84,2.82,247.0,4,0,2,Bank Transfer,1,0.534,0
CUST00139,40,Male,Urban,14,Month-to-Month,57.23,7.03,540.0,4,0,1,Bank Transfer,0,0.787,0
CUST00140,41,Male,Urban,20,Month-to-Month,35.72,4.1,182.0,3,2,2,Credit Card,0,-0.262,0
CUST00141,54,Male,Rural,34,Month-to-Month,69.17,1.22,422.0,3,2,2,E-Wallet,0,0.065,1
CUST00142,52,Female,Rural,29,Month-to-Month,44.54,3.26,396.0,2,1,2,Cash,0,0.006,1
CUST00143,61,Male,Suburban,3,Month-to-Month,88.72,0.27,304.0,3,0,1,Credit Card,1,0.479,0
CUST00144,57,Female,Urban,10,Month-to-Month,67.23,3.48,18.0,3,0,0,E-Wallet,1,0.897,1
CUST00145,39,Male,Urban,46,Two Year,102.02,1.97,382.0,4,1,1,Bank Transfer,1,-0.622,0
CUST00146,44,Male,Urban,12,Two Year,23.07,0.41,225.0,2,0,1,Credit Card,1,-0.056,0
CUST00147,52,Female,Urban,27,Month-to-Month,51.72,1.47,229.0,5,0,2,Bank Transfer,1,0.7,0
CUST00148,18,Female,Suburban,32,Month-to-Month,54.81,9.13,494.0,5,1,2,Credit Card,0,0.524,1
CUST00149,52,Male,Suburban,10,Month-to-Month,76.58,3.53,483.0,1,1,1,E-Wallet,1,-0.563,1
CUST00150,54,Female,Rural,17,Month-to-Month,54.45,9.34,358.0,4,1,0,Credit Card,0,0.675,0
CUST00151,64,Female,Suburban,57,One Year,,2.12,372.0,1,1,1,Bank Transfer,1,-1.0,0
CUST00152,31,Female,Urban,6,Month-to-Month,60.4,15.44,77.0,2,2,1,Credit Card,1,0.0,1
CUST00153,20,Female,Suburban,21,One Year,42.36,1.79,326.0,5,1,1,E-Wallet,1,0.088,0
CUST00154,18,Male,Urban,56,Two Year,60.98,5.66,275.0,5,0,1,Bank Transfer,1,-0.043,1
CUST00155,22,Female,Urban,21,Two Year,56.86,1.46,,5,1,3,E-Wallet,1,-0.369,0
CUST00156,43,Male,Suburban,25,Month-to-Month,88.21,0.45,181.0,1,0,3,Cash,1,-0.104,1
CUST00157,72,Male,Urban,52,One Year,54.7,7.16,504.0,3,0,3,Credit Card,1,0.068,0
CUST00158,31,Male,Urban,4,Month-to-Month,,5.75,597.0,1,1,4,E-Wallet,1,0.644,0
CUST00159,56,Male,Urban,20,Month-to-Month,69.44,6.87,388.0,5,0,1,E-Wallet,1,0.579,0
CUST00160,44,Female,Suburban,28,Month-to-Month,48.73,1.42,334.0,4,1,0,Credit Card,1,0.624,0
CUST00161,26,Female,Suburban,1,Month-to-Month,36.13,4.87,445.0,4,0,2,Credit Card,1,0.071,0
CUST00162,32,Male,Urban,23,Month-to-Month,65.56,0.99,508.0,1,1,2,E-Wallet,0,0.042,0
CUST00163,32,Male,Suburban,13,Month-to-Month,61.7,0.05,247.0,1,0,1,Bank Transfer,1,-0.179,0
CUST00164,43,Male,Urban,65,One Year,59.49,8.05,292.0,2,1,0,Bank Transfer,1,-0.061,0
CUST00165,59,Male,Urban,66,One Year,71.51,2.97,530.0,1,0,0,E-Wallet,1,0.079,0
CUST00166,30,Female,Suburban,31,Month-to-Month,50.53,16.45,137.0,1,3,2,Cash,0,,1
CUST00167,68,Male,Suburban,1,Month-to-Month,67.9,1.94,555.0,5,0,2,Credit Card,0,-0.083,1
CUST00168,49,Female,Rural,37,Two Year,50.26,12.57,,3,1,2,Bank Transfer,0,-0.385,0
CUST00169,56,Male,Urban,16,Month-to-Month,85.56,3.82,36.0,5,1,2,E-Wallet,1,0.109,1
CUST00170,66,Male,Suburban,61,Two Year,64.41,2.87,313.0,3,2,1,E-Wallet,0,-0.271,0
CUST00171,69,Male,Suburban,10,One Year,108.74,1.44,219.0,5,1,0,E-Wallet,1,-0.23,0
CUST00172,49,Male,Rural,10,Month-to-Month,52.63,6.98,142.0,5,1,1,Credit Card,1,-0.339,0
CUST00173,21,Female,Urban,34,Month-to-Month,73.93,7.06,403.0,2,0,4,Bank Transfer,1,-0.18,0
CUST00174,47,Female,Suburban,6,Month-to-Month,93.24,2.16,403.0,3,3,2,Bank Transfer,0,-0.224,0
CUST00175,54,Female,Suburban,28,Month-to-Month,78.41,5.2,554.0,5,2,1,Credit Card,0,-0.083,1
CUST00176,40,Male,Urban,28,Month-to-Month,68.51,2.37,,5,0,4,E-Wallet,1,-0.202,0
CUST00177,56,Male,Urban,27,One Year,73.4,5.38,559.0,3,3,0,Credit Card,0,-0.736,0
CUST00178,62,Female,Urban,12,Month-to-Month,77.69,20.59,219.0,2,0,1,Bank Transfer,1,,0
CUST00179,32,Female,Suburban,2,Month-to-Month,72.45,1.22,366.0,3,1,3,Bank Transfer,1,-0.257,1
CUST00180,60,Male,Rural,19,One Year,64.63,4.02,195.0,2,1,2,Credit Card,1,-0.001,0
CUST00181,46,Male,Suburban,9,Month-to-Month,83.43,1.91,31.0,2,0,1,Bank Transfer,1,-0.102,0
CUST00182,53,Female,Suburban,8,Month-to-Month,62.88,3.18,53.0,4,0,1,Credit Card,1,1.0,0
CUST00183,30,Male,Suburban,3,Month-to-Month,40.38,8.29,422.0,2,0,0,Credit Card,0,,1
CUST00184,49,Male,Urban,9,Month-to-Month,116.46,1.71,233.0,4,1,3,Credit Card,1,-0.113,1
CUST00185,24,Female,Urban,9,One Year,86.94,0.3,109.0,1,2,1,Bank Transfer,1,-0.216,0
CUST00186,68,Male,Urban,9,Month-to-Month,42.21,6.42,99.0,2,3,0,Credit Card,1,-1.0,0
CUST00187,39,Female,Urban,47,One Year,,3.24,210.0,3,0,3,Credit Card,1,-0.33,0
CUST00188,45,Male,Urban,25,Month-to-Month,50.76,2.39,402.0,4,0,0,Cash,1,0.829,0
CUST00189,19,Female,Suburban,8,Month-to-Month,52.55,0.81,149.0,1,0,1,Credit Card,1,0.904,1
CUST00190,59,Male,Urban,31,Month-to-Month,86.68,0.39,393.0,1,1,2,Bank Transfer,0,-0.936,1
CUST00191,62,Female,Urban,40,One Year,56.71,,257.0,2,1,1,Credit Card,1,0.188,0
CUST00192,74,Female,Urban,17,Month-to-Month,112.9,5.08,244.0,3,0,2,Cash,0,0.753,1
CUST00193,70,Female,Urban,19,Month-to-Month,20.83,2.12,149.0,2,0,3,Bank Transfer,1,0.013,0
CUST00194,23,Female,Rural,70,One Year,64.26,3.38,98.0,5,0,1,Credit Card,1,0.858,0
CUST00195,45,Male,Rural,30,Month-to-Month,31.71,0.34,,1,2,0,E-Wallet,1,0.107,0
CUST00196,45,Male,Suburban,10,Month-to-Month,73.19,0.53,11.0,5,0,0,E-Wallet,1,0.48,0
CUST00197,61,Female,Urban,70,One Year,76.19,0.05,225.0,5,0,1,Cash,0,0.152,0
CUST00198,61,Male,Suburban,18,Month-to-Month,87.48,4.47,441.0,4,2,0,E-Wallet,1,-0.163,0
CUST00199,37,Male,Suburban,13,One Year,34.32,1.23,147.0,5,2,2,Credit Card,0,-0.479,0
CUST00200,47,Male,Suburban,23,Month-to-Month,75.78,13.64,178.0,1,1,2,Bank Transfer,0,0.069,0
CUST00201,28,Male,Urban,40,One Year,43.16,1.48,6.0,1,2,1,Bank Transfer,0,-0.149,0
CUST00202,72,Male,Suburban,31,One Year,67.39,1.81,151.0,3,1,5,E-Wallet,1,-0.374,1
CUST00203,45,Female,Suburban,24,Month-to-Month,53.95,2.54,581.0,2,1,1,Bank Transfer,1,-0.779,0
CUST00204,42,Female,Suburban,71,One Year,33.39,,352.0,3,1,3,E-Wallet,0,-0.178,0
CUST00205,56,Female,Suburban,31,Two Year,83.06,6.8,,3,1,4,Credit Card,1,-0.557,0
CUST00206,50,Female,Urban,9,Month-to-Month,58.54,8.36,416.0,2,0,2,Bank Transfer,1,-0.248,0
CUST00207,18,Male,Suburban,12,Month-to-Month,86.44,0.04,569.0,1,2,2,Bank Transfer,1,,0
CUST00208,74,Male,Urban,35,One Year,88.23,4.25,195.0,4,0,0,Cash,1,0.631,0
CUST00209,44,Female,Suburban,12,One Year,97.78,4.63,324.0,5,1,0,Credit Card,1,-0.394,1
CUST00210,74,Male,Urban,8,Month-to-Month,52.33,13.02,481.0,4,1,3,E-Wallet,0,-0.455,1
CUST00211,69,Male,Urban,16,Two Year,41.78,1.85,207.0,5,1,1,Credit Card,1,0.283,0
CUST00212,30,Female,Urban,25,Month-to-Month,95.02,0.87,302.0,2,0,2,Credit Card,0,-0.106,1
CUST00213,58,Male,Suburban,16,One Year,67.57,2.94,298.0,2,1,1,Credit Card,0,-0.451,0
CUST00214,20,Female,Urban,35,One Year,98.72,2.37,425.0,3,0,1,E-Wallet,1,0.574,0
CUST00215,56,Female,Suburban,20,Two Year,35.43,6.28,61.0,2,0,1,E-Wallet,1,0.198,0
CUST00216,23,Male,Suburban,18,Month-to-Month,82.22,9.37,194.0,5,0,3,Bank Transfer,0,0.176,0
CUST00217,25,Male,Urban,40,One Year,66.08,0.36,,4,1,3,E-Wallet,1,-0.19,0
CUST00218,44,Female,Urban,17,Month-to-Month,63.96,7.5,362.0,4,2,3,Credit Card,1,-0.181,0
CUST00219,26,Female,Urban,28,Month-to-Month,56.96,9.59,560.0,4,1,1,Bank Transfer,0,0.274,0
CUST00220,54,Male,Rural,15,Month-to-Month,37.24,10.32,77.0,4,1,0,Bank Transfer,0,0.001,0
CUST00221,50,Female,Suburban,48,One Year,81.59,5.78,283.0,3,0,3,E-Wallet,1,-0.449,0
CUST00222,68,Female,Urban,22,Month-to-Month,55.2,5.42,56.0,4,1,1,Bank Transfer,1,0.119,0
CUST00223,59,Female,Urban,6,Month-to-Month,70.29,0.06,375.0,5,2,2,Credit Card,1,-0.436,1
CUST00224,61,Male,Suburban,52,One Year,113.31,10.11,375.0,3,0,0,Cash,1,0.643,0
CUST00225,41,Female,Rural,31,One Year,,1.73,372.0,3,1,1,Cash,1,-0.358,1
CUST00226,32,Male,Suburban,57,One Year,57.56,0.17,243.0,3,2,2,E-Wallet,0,-0.426,0
CUST00227,71,Female,Suburban,27,Two Year,60.93,2.13,38.0,2,1,3,Bank Transfer,0,-0.693,1
CUST00228,49,Male,Urban,2,Month-to-Month,55.14,5.28,308.0,3,0,2,Bank Transfer,1,,0
CUST00229,49,Female,Urban,20,Two Year,55.92,2.33,85.0,5,0,1,Credit Card,0,0.74,0
CUST00230,41,Male,Urban,41,Two Year,82.44,5.68,98.0,4,0,2,Bank Transfer,1,0.005,0
CUST00231,58,Male,Urban,7,Month-to-Month,98.08,2.85,373.0,2,0,1,Cash,0,0.172,0
CUST00232,69,Male,Urban,6,Month-to-Month,68.25,1.42,494.0,4,0,4,Bank Transfer,1,-0.224,1
CUST00233,66,Female,Urban,22,Month-to-Month,83.5,0.91,207.0,1,0,2,Bank Transfer,0,-0.085,1
CUST00234,66,Female,Urban,10,Month-to-Month,60.68,2.19,82.0,2,0,1,Cash,1,0.527,1
CUST00235,69,Female,Rural,62,One Year,,0.15,576.0,5,1,1,E-Wallet,1,-0.202,0
CUST00236,29,Male,Suburban,34,One Year,55.0,2.2,0.0,2,1,5,Bank Transfer,1,-0.01,0
CUST00237,56,Female,Suburban,24,One Year,45.88,0.28,436.0,3,1,2,Credit Card,1,-0.056,0
CUST00238,19,Male,Suburban,35,Month-to-Month,95.91,8.38,249.0,2,0,2,Credit Card,0,0.5,1
CUST00239,20,Female,Urban,1,Month-to-Month,52.45,3.43,409.0,3,2,2,E-Wallet,0,-0.457,1
CUST00240,66,Male,Suburban,62,Two Year,80.28,4.15,385.0,4,0,3,Cash,1,0.584,0
CUST00241,54,Male,Urban,9,Month-to-Month,44.07,1.36,83.0,2,1,2,Bank Transfer,1,0.7,1
CUST00242,66,Male,Suburban,61,Two Year,66.15,1.02,489.0,2,0,0,Credit Card,1,-0.38,0
CUST00243,73,Female,Urban,22,Month-to-Month,64.98,4.92,238.0,5,2,7,Bank Transfer,0,-0.587,0
CUST00244,34,Female,Rural,6,Two Year,44.27,4.45,539.0,1,2,1,Bank Transfer,1,-0.287,1
